[13:56:01] [main/ERROR]: Failed to load properties from file: server.properties
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[13:56:13] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[13:56:14] [Server thread/INFO]: Starting minecraft server version 1.15.2
[13:56:14] [Server thread/INFO]: Loading properties
[13:56:14] [Server thread/INFO]: Default game type: SURVIVAL
[13:56:14] [Server thread/INFO]: Generating keypair
[13:56:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[13:56:15] [Server thread/INFO]: Using epoll channel type
[13:56:15] [Server thread/INFO]: Preparing level "world"
[13:56:16] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[13:56:16] [Server thread/INFO]: Reloading ResourceManager: Default
[13:56:22] [Server thread/INFO]: Loaded 6 recipes
[13:56:25] [Server thread/INFO]: Loaded 825 advancements
[13:57:54] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[13:57:54] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:54] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:55] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:55] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:56] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:56] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:58] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:58] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:58] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:58] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:57:59] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:00] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:00] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:00] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:01] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:02] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:02] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:02] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:03] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:03] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[13:58:04] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:05] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:05] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:06] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:06] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:07] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:07] [Server-Worker-1/INFO]: Preparing spawn area: 1%
[13:58:07] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[13:58:08] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[13:58:09] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[13:58:09] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[13:58:09] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:58:10] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:58:11] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:58:11] [Server-Worker-1/INFO]: Preparing spawn area: 3%
[13:58:11] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[13:58:12] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[13:58:13] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[13:58:13] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[13:58:13] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[13:58:14] [Server-Worker-1/INFO]: Preparing spawn area: 5%
[13:58:14] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[13:58:15] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[13:58:16] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[13:58:16] [Server-Worker-1/INFO]: Preparing spawn area: 8%
[13:58:17] [Server-Worker-1/INFO]: Preparing spawn area: 8%
[13:58:17] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[13:58:17] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[13:58:18] [Server-Worker-1/INFO]: Preparing spawn area: 9%
[13:58:18] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[13:58:19] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[13:58:20] [Server-Worker-1/INFO]: Preparing spawn area: 10%
[13:58:20] [Server-Worker-1/INFO]: Preparing spawn area: 11%
[13:58:20] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[13:58:21] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[13:58:22] [Server-Worker-1/INFO]: Preparing spawn area: 12%
[13:58:22] [Server-Worker-1/INFO]: Preparing spawn area: 13%
[13:58:23] [Server-Worker-1/INFO]: Preparing spawn area: 13%
[13:58:23] [Server-Worker-1/INFO]: Preparing spawn area: 14%
[13:58:23] [Server-Worker-1/INFO]: Preparing spawn area: 14%
[13:58:24] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:58:24] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:58:25] [Server-Worker-1/INFO]: Preparing spawn area: 15%
[13:58:26] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[13:58:26] [Server-Worker-1/INFO]: Preparing spawn area: 16%
[13:58:26] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[13:58:27] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[13:58:28] [Server-Worker-1/INFO]: Preparing spawn area: 17%
[13:58:28] [Server-Worker-1/INFO]: Preparing spawn area: 18%
[13:58:28] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[13:58:29] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[13:58:29] [Server-Worker-1/INFO]: Preparing spawn area: 19%
[13:58:30] [Server-Worker-1/INFO]: Preparing spawn area: 20%
[13:58:30] [Server-Worker-1/INFO]: Preparing spawn area: 21%
[13:58:31] [Server-Worker-1/INFO]: Preparing spawn area: 21%
[13:58:31] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[13:58:32] [Server-Worker-1/INFO]: Preparing spawn area: 22%
[13:58:32] [Server-Worker-1/INFO]: Preparing spawn area: 23%
[13:58:33] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[13:58:33] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[13:58:34] [Server-Worker-1/INFO]: Preparing spawn area: 24%
[13:58:34] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[13:58:35] [Server-Worker-1/INFO]: Preparing spawn area: 25%
[13:58:35] [Server-Worker-1/INFO]: Preparing spawn area: 26%
[13:58:36] [Server-Worker-1/INFO]: Preparing spawn area: 27%
[13:58:37] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[13:58:37] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[13:58:38] [Server-Worker-1/INFO]: Preparing spawn area: 28%
[13:58:38] [Server-Worker-1/INFO]: Preparing spawn area: 29%
[13:58:39] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[13:58:39] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[13:58:39] [Server-Worker-1/INFO]: Preparing spawn area: 31%
[13:58:40] [Server-Worker-1/INFO]: Preparing spawn area: 32%
[13:58:40] [Server-Worker-1/INFO]: Preparing spawn area: 33%
[13:58:41] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[13:58:42] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[13:58:42] [Server-Worker-1/INFO]: Preparing spawn area: 34%
[13:58:42] [Server-Worker-1/INFO]: Preparing spawn area: 36%
[13:58:43] [Server-Worker-1/INFO]: Preparing spawn area: 38%
[13:58:43] [Server-Worker-1/INFO]: Preparing spawn area: 38%
[13:58:44] [Server-Worker-1/INFO]: Preparing spawn area: 39%
[13:58:44] [Server-Worker-1/INFO]: Preparing spawn area: 40%
[13:58:45] [Server-Worker-1/INFO]: Preparing spawn area: 41%
[13:58:45] [Server-Worker-1/INFO]: Preparing spawn area: 42%
[13:58:46] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[13:58:47] [Server-Worker-1/INFO]: Preparing spawn area: 43%
[13:58:47] [Server-Worker-1/INFO]: Preparing spawn area: 44%
[13:58:47] [Server-Worker-1/INFO]: Preparing spawn area: 46%
[13:58:48] [Server-Worker-1/INFO]: Preparing spawn area: 46%
[13:58:48] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[13:58:49] [Server-Worker-1/INFO]: Preparing spawn area: 48%
[13:58:49] [Server-Worker-1/INFO]: Preparing spawn area: 51%
[13:58:50] [Server-Worker-1/INFO]: Preparing spawn area: 51%
[13:58:51] [Server-Worker-1/INFO]: Preparing spawn area: 52%
[13:58:51] [Server-Worker-1/INFO]: Preparing spawn area: 53%
[13:58:51] [Server-Worker-1/INFO]: Preparing spawn area: 54%
[13:58:52] [Server-Worker-1/INFO]: Preparing spawn area: 55%
[13:58:52] [Server-Worker-1/INFO]: Preparing spawn area: 55%
